duration,director_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes,other_actors_facebook_likes,imdb_binned_score,critic_review_ratio,content_rating_G,content_rating_GP,content_rating_M,content_rating_NC-17,content_rating_Not Rated,content_rating_PG,content_rating_PG-13,content_rating_Passed,content_rating_R,content_rating_TV-14,content_rating_TV-G,content_rating_TV-PG,content_rating_Unrated,content_rating_X
153.0,464.0,15000.0,262030663.0,451803,0.0,230000000.0,2012.0,7.0,2.35,56000,10963.0,3,0.4889795918367347,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156.0,0.0,891.0,105219735.0,211765,0.0,200000000.0,2010.0,6.7,2.35,17000,1620.0,3,0.6282051282051282,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186.0,0.0,5000.0,258355354.0,483540,6.0,225000000.0,2013.0,7.9,2.35,83000,1745.0,3,0.5352260778128286,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113.0,129.0,16000.0,70083519.0,149019,2.0,180000000.0,2007.0,6.1,2.35,0,7000.0,3,0.3768768768768769,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201.0,0.0,6000.0,218051260.0,316018,0.0,207000000.0,2005.0,7.2,2.35,0,1003.0,3,0.1703590527119939,0,0,0,0,0,0,1,0,0,0,0,0,0,0
194.0,0.0,29000.0,658672302.0,793059,0.0,200000000.0,1997.0,7.7,2.35,26000,14794.0,3,0.12460443037974683,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147.0,94.0,21000.0,407197282.0,272670,0.0,250000000.0,2016.0,8.2,2.35,72000,30000.0,4,0.5048923679060665,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131.0,532.0,14000.0,65173160.0,202382,0.0,209000000.0,2012.0,5.9,2.35,44000,10627.0,2,0.5019973368841545,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124.0,365.0,3000.0,652177271.0,418214,0.0,150000000.0,2015.0,7.0,2.0,150000,3000.0,3,0.4992248062015504,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143.0,0.0,883.0,304360277.0,522030,0.0,200000000.0,2012.0,7.8,2.35,80000,956.0,3,0.5006675567423231,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135.0,0.0,24000.0,373377893.0,411164,1.0,200000000.0,2004.0,7.3,2.35,0,15000.0,3,0.23023791250959325,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195.0,1000.0,21000.0,408992272.0,557489,3.0,200000000.0,2013.0,7.2,2.35,95000,7000.0,3,0.5122156697556866,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108.0,13000.0,40000.0,334185206.0,306320,0.0,200000000.0,2010.0,6.5,1.85,24000,36000.0,3,0.6127717391304348,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104.0,420.0,20000.0,234360014.0,383427,0.0,210000000.0,2006.0,6.8,2.35,0,1368.0,3,0.17468619246861924,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104.0,37.0,12000.0,268488329.0,235025,0.0,200000000.0,2013.0,7.3,1.85,44000,1539.0,3,1.4188679245283018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150.0,0.0,894.0,402076689.0,323207,0.0,200000000.0,2009.0,6.0,2.35,0,1045.0,2,0.2543432939541348,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165.0,0.0,974.0,245428137.0,242420,2.0,210000000.0,2014.0,5.7,2.35,56000,1764.0,2,0.4117647058823529,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130.0,0.0,44000.0,234903076.0,175409,4.0,215000000.0,2013.0,6.4,2.35,60000,26000.0,3,1.0273972602739727,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142.0,464.0,15000.0,202853933.0,321227,0.0,200000000.0,2014.0,6.7,2.35,41000,10825.0,3,0.4639175257731959,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125.0,364.0,12000.0,172051787.0,264183,0.0,170000000.0,2010.0,6.8,2.35,30000,11000.0,3,0.7052631578947368,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106.0,487.0,1000.0,191450875.0,101178,0.0,200000000.0,2011.0,6.3,2.35,10000,1695.0,3,1.0742049469964665,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123.0,258.0,16000.0,116593191.0,223393,2.0,200000000.0,2011.0,5.6,2.35,24000,694.0,2,0.7927272727272727,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103.0,125.0,15000.0,414984497.0,544884,3.0,200000000.0,2010.0,8.3,1.85,30000,1721.0,4,0.6180081855388813,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118.0,368.0,23000.0,125320003.0,286095,0.0,200000000.0,2009.0,6.6,2.35,0,3988.0,3,0.433264887063655,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140.0,0.0,26000.0,350034110.0,278232,0.0,190000000.0,2015.0,7.2,2.35,94000,37000.0,3,0.6453576864535768,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123.0,395.0,17000.0,202351611.0,465019,0.0,190000000.0,2013.0,7.0,2.35,129000,12000.0,3,0.6572864321608041,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149.0,0.0,34000.0,233914986.0,514125,7.0,200000000.0,2014.0,8.0,2.35,82000,42000.0,3,0.7167553191489362,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132.0,14000.0,19000.0,228756232.0,395573,0.0,190000000.0,2013.0,7.8,2.35,92000,1909.0,3,0.5038428693424424,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114.0,0.0,979.0,65171860.0,106416,1.0,195000000.0,2013.0,6.3,2.35,22000,697.0,3,1.648780487804878,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143.0,1000.0,29000.0,144812796.0,362912,4.0,105000000.0,2013.0,7.3,2.35,115000,586.0,3,0.650730411686587,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116.0,179.0,15000.0,90755643.0,222403,2.0,200000000.0,2010.0,6.6,2.35,23000,803.0,3,0.6754966887417219,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131.0,0.0,16000.0,101785482.0,381148,0.0,190000000.0,2013.0,7.0,1.85,83000,1887.0,3,0.5198915009041591,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154.0,0.0,894.0,352358779.0,326180,2.0,195000000.0,2011.0,6.3,2.35,46000,1410.0,3,0.4760845383759733,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122.0,14000.0,11000.0,317011114.0,333847,2.0,185000000.0,2008.0,6.2,2.35,5000,2000.0,3,0.22882181110029212,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93.0,113.0,275.0,123070338.0,62836,0.0,20000000.0,2015.0,6.8,2.35,20000,263.0,3,0.863768115942029,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93.0,56.0,2000.0,237282182.0,273556,0.0,185000000.0,2012.0,7.2,2.35,39000,1838.0,3,1.1401869158878504,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122.0,681.0,998.0,130468626.0,53607,4.0,185000000.0,2016.0,7.5,2.35,30000,224.0,3,0.7453703703703703,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98.0,475.0,1000.0,223806889.0,718837,0.0,180000000.0,2008.0,8.4,2.35,16000,1251.0,4,0.40364333652924256,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91.0,420.0,268.0,140080850.0,121084,2.0,140000000.0,2007.0,6.2,2.35,0,441.0,3,0.7330316742081447,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158.0,776.0,1000.0,166112167.0,283418,0.0,200000000.0,2009.0,5.8,2.35,13000,778.0,2,0.34786729857819904,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96.0,0.0,18000.0,137850096.0,72809,0.0,200000000.0,2009.0,6.8,2.35,0,24000.0,3,0.963855421686747,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127.0,0.0,17000.0,47375327.0,139593,1.0,176000000.0,2015.0,5.4,2.35,44000,28000.0,2,0.5333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110.0,282.0,11000.0,124051759.0,42372,2.0,180000000.0,2016.0,6.6,2.35,29000,10103.0,3,1.0376569037656904,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150.0,80.0,1000.0,291709845.0,286506,5.0,180000000.0,2005.0,6.9,2.35,0,272.0,3,0.19412166780587833,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144.0,0.0,34000.0,154985087.0,148379,6.0,178000000.0,2016.0,7.3,2.35,54000,14000.0,3,0.6366559485530546,0,0,0,0,0,0,1,0,0,0,0,0,0,0
152.0,22000.0,23000.0,533316061.0,1676169,0.0,185000000.0,2008.0,9.0,2.35,37000,24000.0,4,0.13820441397043068,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96.0,0.0,1000.0,292979556.0,665575,1.0,175000000.0,2009.0,8.3,1.85,27000,1110.0,4,0.5795454545454546,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94.0,11.0,1000.0,198332128.0,114553,2.0,175000000.0,2009.0,6.5,2.35,0,1432.0,3,1.1711229946524064,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126.0,4000.0,21000.0,318298180.0,696338,3.0,140000000.0,2008.0,7.9,2.35,10000,16000.0,3,0.4606635071090047,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126.0,17000.0,17000.0,73820094.0,245333,0.0,170000000.0,2011.0,7.5,1.85,42000,17000.0,3,1.0058997050147493,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106.0,188.0,10000.0,113745408.0,129601,2.0,170000000.0,1999.0,4.8,1.85,0,4582.0,2,0.13117283950617284,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112.0,357.0,5000.0,102176165.0,117927,2.0,145000000.0,2008.0,5.2,2.35,0,3595.0,2,0.5269461077844312,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123.0,452.0,10000.0,161087183.0,118992,8.0,175000000.0,2016.0,6.9,2.35,80000,665.0,3,0.43048403707518024,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96.0,293.0,87000.0,100289690.0,115099,0.0,175000000.0,2007.0,5.4,2.35,2000,18000.0,2,0.7237354085603113,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113.0,218.0,10000.0,100189501.0,431620,1.0,178000000.0,2014.0,7.9,2.35,77000,1363.0,3,0.7894736842105263,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176.0,58.0,711.0,88246220.0,144337,0.0,175000000.0,1995.0,6.1,1.85,0,120.0,3,0.29449838187702265,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118.0,208.0,23000.0,150167630.0,174578,4.0,175000000.0,2009.0,5.8,2.35,0,2570.0,2,0.4681647940074906,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95.0,0.0,1000.0,356454367.0,345198,1.0,175000000.0,2015.0,8.3,1.85,118000,1151.0,4,0.6934023285899095,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106.0,4000.0,19000.0,362645141.0,106072,0.0,175000000.0,2016.0,7.8,1.85,65000,13591.0,3,0.9296482412060302,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124.0,4000.0,21000.0,312057433.0,522371,4.0,200000000.0,2010.0,7.0,2.35,18000,23000.0,3,0.6265560165975104,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132.0,274.0,26000.0,155111815.0,228554,0.0,170000000.0,2012.0,6.1,2.35,53000,28000.0,3,0.5859154929577465,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97.0,171.0,11000.0,241407328.0,252257,2.0,180000000.0,2014.0,7.0,2.35,89000,2846.0,3,0.6324921135646687,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130.0,198.0,10000.0,208543795.0,317542,0.0,170000000.0,2014.0,7.6,1.85,45000,2884.0,3,0.8403225806451613,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109.0,596.0,622.0,26005908.0,2138,3.0,20000000.0,2015.0,4.5,2.35,677,808.0,2,0.6666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128.0,47.0,18000.0,38297305.0,116994,2.0,175000000.0,2013.0,6.3,2.35,35000,1982.0,3,0.6728395061728395,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136.0,94.0,19000.0,259746958.0,496749,1.0,170000000.0,2014.0,7.8,2.35,55000,13000.0,3,0.7762803234501348,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93.0,31.0,4000.0,238371987.0,138661,2.0,165000000.0,2010.0,6.4,2.35,0,438.0,3,1.30635838150289,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130.0,663.0,2000.0,93417865.0,128306,2.0,190000000.0,2015.0,6.5,2.2,37000,1242.0,3,0.8913480885311871,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102.0,38.0,756.0,222487711.0,279093,0.0,165000000.0,2014.0,7.9,2.39,41000,1281.0,3,0.8868360277136259,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101.0,66.0,975.0,189412677.0,272534,1.0,165000000.0,2012.0,7.8,2.35,40000,1764.0,3,1.0927536231884059,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100.0,0.0,15000.0,665426.0,120798,0.0,165000000.0,2004.0,6.6,2.35,10000,993.0,3,0.42342342342342343,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120.0,776.0,890.0,102315545.0,58137,0.0,165000000.0,2016.0,5.5,2.35,67000,1347.0,2,0.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98.0,255.0,18000.0,217387997.0,485430,0.0,165000000.0,2010.0,8.2,2.35,33000,1712.0,4,0.5853658536585366,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109.0,84.0,648.0,150350192.0,305340,0.0,200000000.0,2003.0,6.4,2.35,0,475.0,3,0.16706443914081145,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121.0,571.0,14000.0,333130696.0,682155,3.0,170000000.0,2014.0,8.1,2.35,96000,17000.0,4,0.5952597994530537,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169.0,22000.0,11000.0,187991439.0,928227,1.0,165000000.0,2014.0,8.6,2.35,349000,17000.0,4,0.2612844036697248,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148.0,22000.0,29000.0,292568851.0,1468200,0.0,160000000.0,2010.0,8.8,2.35,175000,50000.0,4,0.22904031394934,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120.0,28.0,544.0,26005908.0,374,0.0,20000000.0,2016.0,8.2,2.35,0,118.0,4,0.07692307692307693,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106.0,357.0,23000.0,144512310.0,272223,2.0,38000000.0,2001.0,6.7,2.35,14000,18000.0,3,0.18927125506072875,0,0,0,0,0,0,1,0,0,0,0,0,0,0
166.0,21000.0,11000.0,127490802.0,459346,2.0,150000000.0,2008.0,7.8,2.35,23000,1919.0,3,0.44038929440389296,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132.0,905.0,34000.0,146405371.0,518537,3.0,160000000.0,2011.0,7.8,2.35,54000,14000.0,3,0.7163323782234957,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137.0,508.0,34000.0,281666058.0,166137,1.0,160000000.0,2015.0,6.6,2.35,38000,36000.0,3,1.0156657963446476,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109.0,226.0,12000.0,63143812.0,124185,0.0,150000000.0,2010.0,6.1,2.35,11000,788.0,3,0.9873949579831933,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98.0,249.0,87000.0,60655503.0,82380,0.0,160000000.0,2006.0,5.6,2.35,0,2702.0,2,0.3672496025437202,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113.0,33.0,40000.0,76846624.0,21352,1.0,170000000.0,2016.0,6.4,1.85,30000,36000.0,3,1.6641221374045803,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93.0,50.0,3000.0,320706665.0,211971,2.0,160000000.0,2007.0,6.1,1.85,0,1487.0,3,0.696319018404908,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123.0,0.0,3000.0,46978995.0,111609,0.0,160000000.0,2016.0,7.3,2.35,89000,1364.0,3,0.352112676056338,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126.0,230.0,24000.0,89732035.0,188457,2.0,155000000.0,2015.0,6.6,2.35,82000,12000.0,3,0.5467128027681661,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113.0,150.0,531.0,104383624.0,106446,4.0,155000000.0,2010.0,6.3,1.78,11000,141.0,3,1.0044052863436124,0,0,0,0,0,1,0,0,0,0,0,0,0,0
184.0,0.0,3000.0,198539855.0,254111,0.0,140000000.0,2001.0,6.1,2.35,0,1652.0,3,0.09554777388694347,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144.0,0.0,662.0,318759914.0,513158,0.0,150000000.0,2007.0,7.1,2.35,8000,1180.0,3,0.2222222222222222,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206.0,0.0,12000.0,34293771.0,138863,3.0,155000000.0,2004.0,5.5,2.35,0,11591.0,2,0.17841726618705037,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138.0,282.0,21000.0,292000866.0,355137,3.0,150000000.0,2007.0,7.5,2.35,0,11687.0,3,0.29693140794223827,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157.0,179.0,21000.0,289994397.0,385670,1.0,150000000.0,2005.0,7.6,2.35,0,21000.0,3,0.15559071729957805,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102.0,532.0,10000.0,227946274.0,343648,0.0,150000000.0,2008.0,6.4,2.35,0,9979.0,3,0.5389830508474577,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104.0,508.0,10000.0,256386216.0,530870,0.0,150000000.0,2007.0,7.2,2.35,11000,1558.0,3,0.22859164897381457,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115.0,13000.0,40000.0,206456431.0,320284,3.0,150000000.0,2005.0,6.7,1.85,0,16588.0,3,0.20279206465833946,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111.0,663.0,1000.0,206435493.0,473887,0.0,150000000.0,2007.0,8.0,2.35,10000,1954.0,3,0.5079872204472844,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128.0,22000.0,23000.0,205343774.0,980946,0.0,150000000.0,2005.0,8.3,2.35,15000,25000.0,4,0.17802607076350094,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89.0,35.0,1000.0,179982968.0,146019,0.0,150000000.0,2008.0,6.7,1.85,0,1287.0,3,1.403361344537815,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105.0,189.0,49000.0,177243721.0,130272,2.0,150000000.0,2009.0,5.9,2.35,2000,4000.0,2,0.8851674641148325,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119.0,151.0,20000.0,179883016.0,361924,0.0,150000000.0,2009.0,6.7,2.35,0,18000.0,3,0.5460218408736349,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129.0,0.0,309.0,139259759.0,364948,0.0,150000000.0,2003.0,6.7,2.35,0,502.0,3,0.11551155115511551,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102.0,69.0,1000.0,400736600.0,421658,0.0,150000000.0,2013.0,7.6,2.24,58000,1013.0,3,0.4491150442477876,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138.0,0.0,234.0,281492479.0,421818,0.0,150000000.0,2003.0,7.2,2.35,0,228.0,3,0.09860164933667981,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112.0,230.0,26000.0,206360018.0,414070,3.0,170000000.0,2013.0,7.1,2.35,63000,32000.0,3,0.9135338345864662,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120.0,750.0,27000.0,153629485.0,552503,0.0,150000000.0,2015.0,8.1,2.35,191000,9943.0,4,0.46536523929471035,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146.0,2000.0,15000.0,133375846.0,207839,2.0,150000000.0,2009.0,6.7,2.35,0,1039.0,3,0.6850574712643678,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115.0,0.0,26000.0,181015141.0,536314,1.0,150000000.0,2011.0,7.0,2.35,63000,32000.0,3,0.6991869918699187,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96.0,59.0,17000.0,114053579.0,146766,0.0,150000000.0,2008.0,6.9,1.85,0,1458.0,3,1.2640449438202248,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88.0,12.0,730.0,119420252.0,33042,0.0,150000000.0,2009.0,5.1,2.35,0,789.0,2,1.6111111111111112,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99.0,473.0,14000.0,83640426.0,152826,0.0,150000000.0,2012.0,5.8,1.85,19000,1399.0,2,1.225296442687747,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113.0,13000.0,40000.0,79711678.0,199039,7.0,100000000.0,2012.0,6.2,1.85,82000,33000.0,3,1.0981210855949897,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131.0,188.0,10000.0,195000874.0,232187,0.0,150000000.0,2015.0,7.4,2.35,47000,10641.0,3,1.0568181818181819,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119.0,394.0,12000.0,61937495.0,89442,0.0,150000000.0,2010.0,5.8,1.85,0,652.0,2,0.8263888888888888,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91.0,58.0,2000.0,126597121.0,105902,0.0,150000000.0,2007.0,6.2,1.85,0,1678.0,3,0.941747572815534,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90.0,90.0,11000.0,165230261.0,182718,0.0,150000000.0,2011.0,7.3,2.35,20000,10015.0,3,1.3588516746411483,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103.0,0.0,1000.0,131564731.0,118951,0.0,150000000.0,2010.0,4.2,2.35,18000,1102.0,2,0.20260492040520983,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124.0,14000.0,22000.0,133382309.0,256695,0.0,150000000.0,2006.0,6.9,2.35,0,10979.0,3,0.3559127439724455,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131.0,776.0,17000.0,73103784.0,164238,2.0,150000000.0,2013.0,6.4,2.35,33000,807.0,3,0.7811059907834101,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88.0,25.0,921.0,21379315.0,17590,0.0,150000000.0,2011.0,5.4,2.35,0,995.0,2,1.1785714285714286,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85.0,42.0,20000.0,64459316.0,85086,0.0,149000000.0,2006.0,6.7,1.85,0,14586.0,3,1.1065573770491803,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111.0,456.0,20000.0,34964818.0,39956,4.0,150000000.0,2015.0,5.8,2.35,24000,942.0,2,1.3763440860215055,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92.0,50.0,3000.0,111505642.0,47900,2.0,145000000.0,2014.0,6.9,1.85,11000,1517.0,3,1.5076923076923077,0,0,0,0,0,1,0,0,0,0,0,0,0,0
196.0,249.0,11000.0,133228348.0,381672,2.0,175000000.0,2004.0,7.2,2.35,0,5844.0,3,0.12987012987012986,0,0,0,0,0,0,0,0,1,0,0,0,0,0
